A̱o,Periodo,Porcentaje
2005,Enero,3.60
2005,Febrero,3.60
2005,Marzo,3.60
2005,Abril,3.60
2005,Mayo,3.70
2005,Junio,3.70
2005,Julio,3.60
2005,Agosto,3.40
2005,Septiembre,3.30
2005,Octubre,3.30
2005,Noviembre,3.10
2005,Diciembre,3.20
2006,Enero,3.20
2006,Febrero,3.50
2006,Marzo,3.30
2006,Abril,3.40
2006,Mayo,3.10
2006,Junio,3.50
2006,Julio,3.70
2006,Agosto,3.60
2006,Septiembre,3.70
2006,Octubre,3.70
2006,Noviembre,3.70
2006,Diciembre,3.80
2007,Enero,3.70
2007,Febrero,3.80
2007,Marzo,3.80
2007,Abril,3.70
2007,Mayo,3.50
2007,Junio,3.50
2007,Julio,3.50
2007,Agosto,3.60
2007,Septiembre,3.50
2007,Octubre,3.60
2007,Noviembre,3.60
2007,Diciembre,3.50
2008,Enero,3.80
2008,Febrero,3.70
2008,Marzo,3.80
2008,Abril,3.60
2008,Mayo,3.60
2008,Junio,3.60
2008,Julio,3.80
2008,Agosto,3.80
2008,Septiembre,3.90
2008,Octubre,4.00
2008,Noviembre,4.50
2008,Diciembre,4.50
2009,Enero,4.70
2009,Febrero,5.00
2009,Marzo,5.00
2009,Abril,5.20
2009,Mayo,5.60
2009,Junio,5.30
2009,Julio,5.50
2009,Agosto,5.70
2009,Septiembre,6.00
2009,Octubre,5.50
2009,Noviembre,5.30
2009,Diciembre,5.30
2010,Enero,5.40
2010,Febrero,5.10
2010,Marzo,5.10
2010,Abril,5.50
2010,Mayo,5.30
2010,Junio,5.10
2010,Julio,5.30
2010,Agosto,5.00
2010,Septiembre,5.30
2010,Octubre,5.30
2010,Noviembre,5.30
2010,Diciembre,5.50
2011,Enero,5.00
2011,Febrero,5.30
2011,Marzo,5.10
2011,Abril,5.20
2011,Mayo,5.40
2011,Junio,5.60
2011,Julio,5.20
2011,Agosto,5.30
2011,Septiembre,5.10
2011,Octubre,4.90
2011,Noviembre,5.10
2011,Diciembre,5.00
2012,Enero,4.60
2012,Febrero,5.30
2012,Marzo,5.00
2012,Abril,4.90
2012,Mayo,4.80
2012,Junio,4.80
2012,Julio,4.70
2012,Agosto,4.90
2012,Septiembre,4.60
2012,Octubre,4.90
2012,Noviembre,5.20
2012,Diciembre,4.90
2013,Enero,5.20
2013,Febrero,4.80
2013,Marzo,5.00
2013,Abril,5.00
2013,Mayo,5.00
2013,Junio,5.00
2013,Julio,4.90
2013,Agosto,4.80
2013,Septiembre,5.00
2013,Octubre,4.90
2013,Noviembre,4.60
2013,Diciembre,4.70
2014,Enero,4.90
2014,Febrero,4.80
2014,Marzo,5.30
2014,Abril,4.90
2014,Mayo,4.90
2014,Junio,4.80
2014,Julio,5.20
2014,Agosto,4.80
2014,Septiembre,4.80
2014,Octubre,4.70
2014,Noviembre,4.70
2014,Diciembre,4.10
2015,Enero,4.40
2015,Febrero,4.40
2015,Marzo,4.30
2015,Abril,4.30
2015,Mayo,4.40
2015,Junio,4.40
2015,Julio,4.50
2015,Agosto,4.40
2015,Septiembre,4.20
2015,Octubre,4.40
2015,Noviembre,4.10
2015,Diciembre,4.30
2016,Enero,4.20
2016,Febrero,4.30
2016,Marzo,4.10
2016,Abril,3.80
2016,Mayo,4.00
2016,Junio,3.90
2016,Julio,3.80
2016,Agosto,3.80
2016,Septiembre,3.80
2016,Octubre,3.60
2016,Noviembre,3.60
2016,Diciembre,3.60
2017,Enero,3.50
2017,Febrero,3.40
2017,Marzo,3.50
2017,Abril,3.50
2017,Mayo,3.50
2017,Junio,3.30
2017,Julio,3.30
2017,Agosto,3.30
2017,Septiembre,3.30
2017,Octubre,3.40
2017,Noviembre,3.50
2017,Diciembre,3.40
2018,Enero,3.30
2018,Febrero,3.30
2018,Marzo,3.30
2018,Abril,3.40
2018,Mayo,3.20
2018,Junio,3.40
2018,Julio,3.30
2018,Agosto,3.30
2018,Septiembre,3.30
2018,Octubre,3.20
2018,Noviembre,3.30
2018,Diciembre,3.60
2019,Enero,3.50
2019,Febrero,3.40
2019,Marzo,3.60
2019,Abril,3.50
2019,Mayo,3.60
2019,Junio,3.50
2019,Julio,3.50
2019,Agosto,3.50
2019,Septiembre,3.50
2019,Octubre,3.60
2019,Noviembre,3.50
2019,Diciembre,3.10
2020,Enero,3.70
2020,Febrero,3.60
2020,Marzo,3.30
2020,Abril,4.70
2020,Mayo,4.30
2020,Junio,5.50
2020,Julio,5.00
2020,Agosto,4.90
2020,Septiembre,4.80
2020,Octubre,4.60
2020,Noviembre,4.50
2020,Diciembre,4.10
2021,Enero,4.60
2021,Febrero,4.40
2021,Marzo,4.40
2021,Abril,4.70
2021,Mayo,4.10
2021,Junio,4.00
2021,Julio,4.10
2021,Agosto,4.00
2021,Septiembre,3.90
2021,Octubre,3.90
2021,Noviembre,3.80
2021,Diciembre,3.80
2022,Enero,3.60
2022,Febrero,3.70
2022,Marzo,3.40
2022,Abril,3.10
2022,Mayo,3.40
2022,Junio,3.30
2022,Julio,3.20
2022,Agosto,3.30
2022,Septiembre,3.10